LapNumber,TyreLife,Compound,deg_rate,gap_ahead,undercut_risk,Position,pit_next_lap,Year,EventName,Driver,pit_probability,recommended,predicted_position
5.0,5.0,1.0,9.89,0.4060000000000059,0,14.0,0,2022,Australian Grand Prix,ZHO,0.089,False,13
5.0,5.0,2.0,9.27466666666666,0.5320000000000107,0,15.0,0,2022,Australian Grand Prix,MAG,0.027,False,12
5.0,6.0,2.0,7.729333333333329,1.2549999999999957,0,16.0,0,2022,Australian Grand Prix,VET,0.012,False,13
5.0,5.0,1.0,8.46799999999999,0.8919999999999959,0,17.0,0,2022,Australian Grand Prix,LAT,0.042,False,14
5.0,5.0,2.0,8.734999999999985,0.2340000000000088,0,18.0,0,2022,Australian Grand Prix,ALB,0.019,False,16
5.0,1.0,2.0,-4.157666666666657,12.147000000000006,0,19.0,0,2022,Australian Grand Prix,STR,0.009,False,15
6.0,6.0,1.0,6.6226666666666745,999.0,0,1.0,0,2022,Australian Grand Prix,LEC,0.025,False,2
6.0,6.0,1.0,6.775666666666666,0.88900000000001,0,2.0,0,2022,Australian Grand Prix,VER,0.011,False,3
6.0,6.0,1.0,6.22999999999999,1.8249999999999889,0,3.0,0,2022,Australian Grand Prix,HAM,0.01,False,3
6.0,6.0,1.0,5.277666666666676,1.5360000000000014,0,4.0,0,2022,Australian Grand Prix,PER,0.011,False,4
6.0,6.0,1.0,3.4700000000000277,2.259999999999991,0,5.0,0,2022,Australian Grand Prix,RUS,0.016,False,5
6.0,6.0,1.0,1.9723333333333244,1.914000000000016,0,6.0,0,2022,Australian Grand Prix,NOR,0.016,False,6
6.0,6.0,1.0,0.0283333333333075,2.054000000000002,0,7.0,0,2022,Australian Grand Prix,RIC,0.095,False,6
6.0,6.0,1.0,-0.9233333333333462,1.093999999999994,0,8.0,0,2022,Australian Grand Prix,OCO,0.043,False,8
6.0,6.0,1.0,-1.9170000000000016,1.625,0,9.0,0,2022,Australian Grand Prix,GAS,0.033,False,8
6.0,6.0,2.0,-2.3700000000000045,0.8489999999999895,0,10.0,0,2022,Australian Grand Prix,ALO,0.021,False,9
6.0,6.0,1.0,-2.9043333333333408,0.7010000000000218,0,11.0,0,2022,Australian Grand Prix,TSU,0.094,False,10
6.0,6.0,1.0,-3.295666666666648,0.5859999999999843,0,12.0,0,2022,Australian Grand Prix,BOT,0.135,False,11
6.0,8.0,1.0,-3.799000000000007,0.5480000000000018,0,13.0,0,2022,Australian Grand Prix,MSC,0.207,False,12
6.0,6.0,1.0,-3.971666666666664,0.5459999999999923,0,14.0,0,2022,Australian Grand Prix,ZHO,0.21,False,14
6.0,6.0,2.0,-4.2883333333332985,0.4240000000000066,0,15.0,0,2022,Australian Grand Prix,MAG,0.028,False,13
6.0,7.0,2.0,-4.822333333333347,1.01400000000001,0,16.0,0,2022,Australian Grand Prix,VET,0.007,False,13
6.0,6.0,1.0,-5.841666666666697,1.1709999999999925,0,17.0,0,2022,Australian Grand Prix,LAT,0.04,False,14
6.0,6.0,2.0,-6.242000000000004,0.7349999999999994,0,18.0,0,2022,Australian Grand Prix,ALB,0.011,False,15
6.0,2.0,2.0,-3.339999999999989,0.983000000000004,0,19.0,0,2022,Australian Grand Prix,STR,0.006,False,15
7.0,7.0,1.0,-37.325,999.0,0,1.0,0,2022,Australian Grand Prix,LEC,0.12,False,2
7.0,7.0,1.0,-36.41966666666666,0.2100000000000079,0,2.0,0,2022,Australian Grand Prix,VER,0.018,False,4
7.0,7.0,1.0,-34.97900000000001,0.6709999999999923,0,3.0,0,2022,Australian Grand Prix,HAM,0.053,False,3
7.0,7.0,1.0,-34.533,0.2870000000000061,0,4.0,0,2022,Australian Grand Prix,PER,0.044,False,5
7.0,7.0,1.0,-33.55133333333333,0.6089999999999947,0,5.0,0,2022,Australian Grand Prix,RUS,0.067,False,5
7.0,7.0,1.0,-32.68933333333334,0.304000000000002,0,6.0,0,2022,Australian Grand Prix,NOR,0.045,False,6
7.0,7.0,1.0,-32.390000000000015,0.0200000000000102,0,7.0,0,2022,Australian Grand Prix,RIC,0.012,False,8
7.0,7.0,1.0,-32.07799999999999,0.1699999999999875,0,8.0,0,2022,Australian Grand Prix,OCO,0.027,False,8
7.0,7.0,1.0,-31.45533333333333,0.2750000000000057,0,9.0,0,2022,Australian Grand Prix,GAS,0.048,False,9
7.0,7.0,2.0,-31.045666666666666,0.5460000000000065,0,10.0,0,2022,Australian Grand Prix,ALO,0.009,False,10
7.0,7.0,1.0,-30.84233333333333,0.1359999999999956,0,11.0,0,2022,Australian Grand Prix,TSU,0.028,False,10
7.0,7.0,1.0,-30.711000000000013,0.093999999999994,0,12.0,0,2022,Australian Grand Prix,BOT,0.057,False,11
7.0,9.0,1.0,-30.47,0.2010000000000076,0,13.0,0,2022,Australian Grand Prix,MSC,0.059,False,12
7.0,7.0,1.0,-30.576666666666668,0.2300000000000039,0,14.0,0,2022,Australian Grand Prix,ZHO,0.066,False,13
